date,cape,tr_cape,ecy
1881-01-01,18.473952301404942,24.135057421965016,-0.01048874481343709
1881-02-01,18.14725816499024,23.6555032661501,-0.011392839551264078
1881-03-01,18.270119140204997,23.767712891469255,-0.013123118077292363
1881-04-01,17.950108278222896,23.308850117141485,-0.007503501721981776
1881-05-01,18.8697186931526,24.456686047737893,-0.00888108998627423
1881-06-01,19.02871073111579,24.616330670871356,-0.007732465433510229
1881-07-01,18.116367187389752,23.397455434510498,-0.004047872140695727
1881-08-01,17.28624355397345,22.294300579943215,0.0021436052233798214
1881-09-01,16.724836648772907,21.542784022650437,0.005564050621919711
1881-10-01,16.26198941118135,20.927319306516623,0.006724035747653748
1881-11-01,16.47864231664487,21.18977465045719,0.005069307365658436
1881-12-01,15.958754206105084,20.509855894384813,0.004877507108947091
1882-01-01,15.678764160028747,20.142053775383264,0.006063178135554355
1882-02-01,15.153861528363045,19.462129672651724,0.009174922369645351
1882-03-01,15.09167029948675,19.377440588099798,0.00797812806574854
1882-04-01,14.916997168375307,19.149099336903035,0.00749817273575875
1882-05-01,14.567103202191767,18.69842050025918,0.009991834775673024
1882-06-01,14.327404890131675,18.39019781872344,0.012729276253183229
1882-07-01,15.24055976121783,19.55702412921713,0.009093141918662694
1882-08-01,15.525429331463037,19.913629768832696,0.008044514050340734
1882-09-01,16.081106624462315,20.61719470598177,0.0024137828797115776
1882-10-01,15.755581030526558,20.192326679272217,0.004945010915350101
1882-11-01,15.192670313165342,19.46618580570175,0.003500861849316736
1882-12-01,15.382128332081978,19.704614063292855,0.0031815143101115995
1883-01-01,15.270259119098574,19.556713466650184,0.0036494449665530476
1883-02-01,14.757590146176227,18.8982221884684,0.004730537555653086
1883-03-01,15.051254121401639,19.273105236150062,0.0024952795648935516
1883-04-01,15.482067222036676,19.821692820458182,-0.0002753950050816967
1883-05-01,15.335497637337065,19.63264291950356,0.0015315856185122295
1883-06-01,15.903388388583794,20.35644802334545,-0.000759769689806386
1883-07-01,15.948783127017029,20.410434017234646,-0.002893784310230893
1883-08-01,15.19681087662985,19.448085508176298,0.00021712055410356979
1883-09-01,15.494692425793458,19.828736618724495,-0.0020348484115957077
1883-10-01,15.048056270223842,19.25930818643971,0.002120613484408937
1883-11-01,15.408218142448874,19.720544543933176,0.0026325881891270317
1883-12-01,14.896403941887167,19.066539273012438,0.0035706001324259107
1884-01-01,14.432821721970726,18.478450440666556,0.004228642188965986
